V.A.0000.000.45
/**Base atpInterfaceTable Number, 468 **/
0x001e , // zcType default
0x0001 , // zcIndex [10进制表示为: 1]
0x003c , // ciType default
0x0001 , // ciIndex [10进制表示为: 1]

序号 , 设备名称 , 设备类型 , 设备ID , ZC侧ID , 码位值0 , P1801 , DBJ , 0 ,1 ,1
116 , T1811 , STD , 5 ,10 ,78
117 , T1811 , XTD , 5 ,10 ,79
118 , T1811 , DGJ-GENR , 5 ,10 ,80
119 , T1811 , JZSB , 5 ,10 ,81
120 , T1813 , SDO-NERCV , 6 ,6 ,55
121 , T1813 , TIO-NERCV , 6 ,6 ,56
122 , T1813 , STD , 6 ,6 ,66
123 , T1813 , XTD , 6 ,6 ,67
124 , T1813 , DGJ-GENR , 6 ,6 ,68
125 , T1813 , JZSB , 6 ,6 ,69
126 , T1815 , SDO-NERCV , 7 ,7 ,57
127 , T1815 , TIO-NERCV , 7 ,7 ,58
128 , T1815 , STD , 7 ,7 ,70
129 , T1815 , XTD , 7 ,7 ,71
130 , T1815 , DGJ-GENR , 7 ,7 ,72
131 , T1815 , JZSB , 7 ,7 ,73
132 , T1817 , SDO-NERCV , 8 ,11 ,63
133 , T1817 , TIO-NERCV , 8 ,11 ,64
134 , T1817 , STD , 8 ,11 ,82
135 , T1817 , XTD , 8 ,11 ,83
136 , T1817 , DGJ-GENR , 8 ,11 ,84
137 , T1817 , JZSB , 8 ,11 ,85
138 , T1819 , SDO-NERCV , 9 ,12 ,65
139 , T1819 , TIO-NERCV , 9 ,12 ,66
140 , T1819 , STD , 9 ,12 ,86
141 , T1819 , XTD , 9 ,12 ,87
142 , T1819 , DGJ-GENR , 9 ,12 ,88
143 , T1819 , JZSB , 9 ,12 ,89
144 , T1821 , SDO-NERCV , 10 ,13 ,67
145 , T1821 , TIO-NERCV , 10 ,13 ,68
146 , T1821 , STD , 10 ,13 ,90
147 , T1821 , XTD , 10 ,13 ,91
148 , T1821 , DGJ-GENR , 10 ,13 ,92
149 , T1821 , JZSB , 10 ,13 ,93
150 , T1823 , SDO-NERCV , 11 ,14 ,69
151 , T1823 , TIO-NERCV , 11 ,14 ,70
152 , T1823 , STD , 11 ,14 ,94
153 , T1823 , XTD , 11 ,14 ,95
154 , T1823 , DGJ-GENR , 11 ,14 ,96
155 , T1823 , JZSB , 11 ,14 ,97
156 , T1901 , SDO-NERCV , 12 ,15 ,71
157 , T1901 , TIO-NERCV , 12 ,15 ,72
158 , T1901 , STD , 12 ,15 ,98
159 , T1901 , XTD , 12 ,15 ,99
160 , T1901 , DGJ-GENR , 12 ,15 ,100
161 , T1901 , JZSB , 12 ,15 ,101
162 , T1903 , SDO-NERCV , 13 ,16 ,73
163 , T1903 , TIO-NERCV , 13 ,16 ,74
164 , T1903 , STD , 13 ,16 ,102
165 , T1903 , XTD , 13 ,16 ,103
166 , T1903 , DGJ-GENR , 13 ,16 ,104
167 , T1903 , JZSB , 13 ,16 ,105
168 , T1905 , SDO-NERCV , 14 ,17 ,75
169 , T1905 , TIO-NERCV , 14 ,17 ,76
170 , T1905 , STD , 14 ,17 ,106
171 , T1905 , XTD , 14 ,17 ,107
172 , T1905 , DGJ-GENR , 14 ,17 ,108
173 , T1905 , JZSB , 14 ,17 ,109
174 , T1802 , SDO-NERCV , 15 ,19 ,77
175 , T1802 , TIO-NERCV , 15 ,19 ,78
176 , T1802 , STD , 15 ,19 ,110
177 , T1802 , XTD , 15 ,19 ,111
178 , T1802 , DGJ-GENR , 15 ,19 ,112
179 , T1802 , JZSB , 15 ,19 ,113
180 , T1804 , SDO-NERCV , 16 ,20 ,79
181 , T1804 , TIO-NERCV , 16 ,20 ,80
182 , T1804 , STD , 16 ,20 ,114
183 , T1804 , XTD , 16 ,20 ,115
184 , T1804 , DGJ-GENR , 16 ,20 ,116
185 , T1804 , JZSB , 16 ,20 ,117
186 , T1806 , SDO-NERCV , 17 ,21 ,81
187 , T1806 , TIO-NERCV , 17 ,21 ,82
188 , T1806 , STD , 17 ,21 ,118
189 , T1806 , XTD , 17 ,21 ,119
190 , T1806 , DGJ-GENR , 17 ,21 ,120
191 , T1806 , JZSB , 17 ,21 ,121
192 , T1808 , SDO-NERCV , 18 ,22 ,83
193 , T1808 , TIO-NERCV , 18 ,22 ,84
194 , T1808 , STD , 18 ,22 ,122
195 , T1808 , XTD , 18 ,22 ,123
196 , T1808 , DGJ-GENR , 18 ,22 ,124
197 , T1808 , JZSB , 18 ,22 ,125
198 , T1810 , SDO-NERCV , 19 ,23 ,85
199 , T1810 , TIO-NERCV , 19 ,23 ,86
200 , T1810 , STD , 19 ,23 ,126
201 , T1810 , XTD , 19 ,23 ,127
202 , T1810 , DGJ-GENR , 19 ,23 ,128
